frame_idx,blockID,timestamp_ticks,delta_t_seconds
0.000000000000000000e+00,1.000000000000000000e+00,1.348559679824946000e+15,nan
1.000000000000000000e+00,2.000000000000000000e+00,1.348559679911668000e+15,6.937760000000000064e-04
2.000000000000000000e+00,3.000000000000000000e+00,1.348559679998386000e+15,6.937440000000000447e-04
3.000000000000000000e+00,4.000000000000000000e+00,1.348559680085106000e+15,6.937599999999999713e-04
4.000000000000000000e+00,5.000000000000000000e+00,1.348559680174830000e+15,7.177919999999999743e-04
5.000000000000000000e+00,6.000000000000000000e+00,1.348559680261548000e+15,6.937440000000000447e-04
6.000000000000000000e+00,7.000000000000000000e+00,1.348559680348266000e+15,6.937440000000000447e-04
7.000000000000000000e+00,8.000000000000000000e+00,1.348559680434988000e+15,6.937760000000000064e-04
8.000000000000000000e+00,9.000000000000000000e+00,1.348559680521706000e+15,6.937440000000000447e-04
9.000000000000000000e+00,1.000000000000000000e+01,1.348559680608426000e+15,6.937599999999999713e-04
1.000000000000000000e+01,1.100000000000000000e+01,1.348559680695148000e+15,6.937760000000000064e-04
1.100000000000000000e+01,1.200000000000000000e+01,1.348559680781866000e+15,6.937440000000000447e-04
1.200000000000000000e+01,1.300000000000000000e+01,1.348559680868584000e+15,6.937440000000000447e-04
1.300000000000000000e+01,1.400000000000000000e+01,1.348559680955306000e+15,6.937760000000000064e-04
1.400000000000000000e+01,1.500000000000000000e+01,1.348559681042024000e+15,6.937440000000000447e-04
1.500000000000000000e+01,1.600000000000000000e+01,1.348559681128742000e+15,6.937440000000000447e-04
1.600000000000000000e+01,1.700000000000000000e+01,1.348559681215464000e+15,6.937760000000000064e-04
1.700000000000000000e+01,1.800000000000000000e+01,1.348559681302182000e+15,6.937440000000000447e-04
1.800000000000000000e+01,1.900000000000000000e+01,1.348559681388902000e+15,6.937599999999999713e-04
1.900000000000000000e+01,2.000000000000000000e+01,1.348559681475622000e+15,6.937599999999999713e-04
2.000000000000000000e+01,2.100000000000000000e+01,1.348559681562342000e+15,6.937599999999999713e-04
2.100000000000000000e+01,2.200000000000000000e+01,1.348559681649060000e+15,6.937440000000000447e-04
2.200000000000000000e+01,2.300000000000000000e+01,1.348559681735782000e+15,6.937760000000000064e-04
2.300000000000000000e+01,2.400000000000000000e+01,1.348559681822500000e+15,6.937440000000000447e-04
2.400000000000000000e+01,2.500000000000000000e+01,1.348559681909220000e+15,6.937599999999999713e-04
2.500000000000000000e+01,2.600000000000000000e+01,1.348559681995940000e+15,6.937599999999999713e-04
2.600000000000000000e+01,2.700000000000000000e+01,1.348559682082660000e+15,6.937599999999999713e-04
2.700000000000000000e+01,2.800000000000000000e+01,1.348559682169378000e+15,6.937440000000000447e-04
2.800000000000000000e+01,2.900000000000000000e+01,1.348559682259102000e+15,7.177919999999999743e-04
2.900000000000000000e+01,3.000000000000000000e+01,1.348559682345820000e+15,6.937440000000000447e-04
3.000000000000000000e+01,3.100000000000000000e+01,1.348559682432540000e+15,6.937599999999999713e-04
3.100000000000000000e+01,3.200000000000000000e+01,1.348559682519260000e+15,6.937599999999999713e-04
3.200000000000000000e+01,3.300000000000000000e+01,1.348559682605980000e+15,6.937599999999999713e-04
3.300000000000000000e+01,3.400000000000000000e+01,1.348559682692698000e+15,6.937440000000000447e-04
3.400000000000000000e+01,3.500000000000000000e+01,1.348559682779420000e+15,6.937760000000000064e-04
3.500000000000000000e+01,3.600000000000000000e+01,1.348559682866138000e+15,6.937440000000000447e-04
3.600000000000000000e+01,3.700000000000000000e+01,1.348559682952856000e+15,6.937440000000000447e-04
3.700000000000000000e+01,3.800000000000000000e+01,1.348559683039578000e+15,6.937760000000000064e-04
3.800000000000000000e+01,3.900000000000000000e+01,1.348559683126296000e+15,6.937440000000000447e-04
3.900000000000000000e+01,4.000000000000000000e+01,1.348559683213016000e+15,6.937599999999999713e-04
4.000000000000000000e+01,4.100000000000000000e+01,1.348559683299736000e+15,6.937599999999999713e-04
4.100000000000000000e+01,4.200000000000000000e+01,1.348559683386456000e+15,6.937599999999999713e-04
4.200000000000000000e+01,4.300000000000000000e+01,1.348559683473174000e+15,6.937440000000000447e-04
4.300000000000000000e+01,4.400000000000000000e+01,1.348559683559896000e+15,6.937760000000000064e-04
4.400000000000000000e+01,4.500000000000000000e+01,1.348559683646614000e+15,6.937440000000000447e-04
4.500000000000000000e+01,4.600000000000000000e+01,1.348559683733332000e+15,6.937440000000000447e-04
4.600000000000000000e+01,4.700000000000000000e+01,1.348559683820050000e+15,6.937440000000000447e-04
4.700000000000000000e+01,4.800000000000000000e+01,1.348559683906772000e+15,6.937760000000000064e-04
4.800000000000000000e+01,4.900000000000000000e+01,1.348559683993490000e+15,6.937440000000000447e-04
4.900000000000000000e+01,5.000000000000000000e+01,1.348559684080210000e+15,6.937599999999999713e-04
5.000000000000000000e+01,5.100000000000000000e+01,1.348559684166930000e+15,6.937599999999999713e-04
5.100000000000000000e+01,5.200000000000000000e+01,1.348559684253650000e+15,6.937599999999999713e-04
5.200000000000000000e+01,5.300000000000000000e+01,1.348559684343374000e+15,7.177919999999999743e-04
5.300000000000000000e+01,5.400000000000000000e+01,1.348559684430094000e+15,6.937599999999999713e-04
5.400000000000000000e+01,5.500000000000000000e+01,1.348559684516812000e+15,6.937440000000000447e-04
5.500000000000000000e+01,5.600000000000000000e+01,1.348559684603534000e+15,6.937760000000000064e-04
5.600000000000000000e+01,5.700000000000000000e+01,1.348559684690252000e+15,6.937440000000000447e-04
5.700000000000000000e+01,5.800000000000000000e+01,1.348559684776970000e+15,6.937440000000000447e-04
5.800000000000000000e+01,5.900000000000000000e+01,1.348559684863688000e+15,6.937440000000000447e-04
5.900000000000000000e+01,6.000000000000000000e+01,1.348559684950410000e+15,6.937760000000000064e-04
6.000000000000000000e+01,6.100000000000000000e+01,1.348559685037128000e+15,6.937440000000000447e-04
6.100000000000000000e+01,6.200000000000000000e+01,1.348559685123848000e+15,6.937599999999999713e-04
6.200000000000000000e+01,6.300000000000000000e+01,1.348559685210568000e+15,6.937599999999999713e-04
6.300000000000000000e+01,6.400000000000000000e+01,1.348559685297288000e+15,6.937599999999999713e-04
6.400000000000000000e+01,6.500000000000000000e+01,1.348559685384006000e+15,6.937440000000000447e-04
6.500000000000000000e+01,6.600000000000000000e+01,1.348559685470728000e+15,6.937760000000000064e-04
6.600000000000000000e+01,6.700000000000000000e+01,1.348559685557446000e+15,6.937440000000000447e-04
6.700000000000000000e+01,6.800000000000000000e+01,1.348559685644166000e+15,6.937599999999999713e-04
6.800000000000000000e+01,6.900000000000000000e+01,1.348559685730886000e+15,6.937599999999999713e-04
6.900000000000000000e+01,7.000000000000000000e+01,1.348559685817606000e+15,6.937599999999999713e-04
7.000000000000000000e+01,7.100000000000000000e+01,1.348559685904324000e+15,6.937440000000000447e-04
7.100000000000000000e+01,7.200000000000000000e+01,1.348559685991046000e+15,6.937760000000000064e-04
7.200000000000000000e+01,7.300000000000000000e+01,1.348559686077764000e+15,6.937440000000000447e-04
7.300000000000000000e+01,7.400000000000000000e+01,1.348559686164482000e+15,6.937440000000000447e-04
